Review,Star Rating,Length,Valence,Internal Consistency,Argument Quality,Objectivity,Completeness,Template Flag,Spam Flag,CREDIBILITY
Quality good legit po napakaganda po ng item slmt po wl nmn po damge,5,14,POSITIVE,CONSISTENT,LOW,MODERATE,LOW,0,0,LOW
d ko pa na try Yung music but thanks I Hope na ok Yung aerpods,5,15,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
It wasn t the same in actual appearance,5,8,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Noise Level Quiet and noiseless operation,5,6,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
okay nmn sya magagamit mo lng sya pag sinasak2,5,9,MIXED,INCONSISTENT,LOW,MODERATE,MODERATE,0,0,LOW
cute sia di pa natatry pero sana okay naman thank u seller,5,12,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Functionality ok nmn Quality mgnda Material same as the picture,5,10,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,0,0,MODERATE
wala po syang bukasan dapat nkasaksak bgo gamotin,5,8,NEGATIVE,INCONSISTENT,MODERATE,HIGH,LOW,0,0,MODERATE
Ganda ng quality,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
perfect,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Nice,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
very good,5,2,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
ok po salamat po,5,4,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Versatile for indoor and outdoor use,5,6,POSITIVE,CONSISTENT,LOW,HIGH,LOW,1,0,LOW
