Review,Star Rating,Length,Valence,Internal Consistency,Argument Quality,Objectivity,Completeness,Template Flag,Spam Flag,CREDIBILITY
Material nice cool Size fit to size Style very classy I love it seller till next order il order the other designs soon thank you so much seller,5,28,POSITIVE,CONSISTENT,LOW,LOW,HIGH,0,0,MODERATE
Material the material looks and feels expensive very value for money Size a size bigger for me especially in the waist atea Style stylish,5,24,POSITIVE,CONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
Quite bigger for me I should have ordered one size smaller but the fabric is of good quality I like the style very much great value for money,5,28,MIXED,INCONSISTENT,LOW,MODERATE,MODERATE,0,0,LOW
Beautiful dress I really love this dress Fitted at bagay sa akin Thank you Zanzea at Lazada,5,17,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Material ok nman ung tela nya Size correct size Style mganda nman ung style nya,5,15,POSITIVE,CONSISTENT,LOW,LOW,HIGH,0,0,MODERATE
True to size lightweight fabric design as shown in the picture The shipper is cheerful and enthusiastic,5,17,POSITIVE,CONSISTENT,LOW,LOW,LOW,1,0,LOW
what you see is what you get love the dress looks elegant and expensive Mall quality The material is satin like fabric but thick and its comfy suits Manila weather Can be worn in parties as well as office attire Formal to semi formal type of dress Not bad for its price compared to malls Got the correct design item color and size item is same as advertised color is vibrant as shown in photo Happy with my purchase highly recommended Delivered within the time frame given,5,87,POSITIVE,CONSISTENT,HIGH,HIGH,HIGH,0,0,HIGH
Material ok Size malaki Style Good,5,6,POSITIVE,CONSISTENT,LOW,LOW,HIGH,0,0,MODERATE
super nice super nice super nice highly recommended highly recommended highly recommended highly recommended,5,14,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,1,LOW
Material very very nice I m happy for my purchase nice Size Design gooooooooooooooood nice fit Design,5,17,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Good quality,5,2,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Material The fabric is very good it looks like silk Size The size is accurate no need to allow extra Style Suitable for everyone I highly recommend it as it is very affordable go buy it it is exactly as described and not misleading,5,44,POSITIVE,CONSISTENT,MODERATE,MODERATE,HIGH,0,0,MODERATE
Nice Size large is too big for pinatahi ko pa para lumiit liit int size pla sya Style semi formal shiny ang tela,5,23,MIXED,INCONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
Material Very beautiful the pink fabric has a shiny finish like silk Size Fits perfectly as stated Style Very beautiful suitable for all occasions,5,24,POSITIVE,CONSISTENT,LOW,MODERATE,HIGH,0,0,MODERATE
The product has good fabric and the color matches the description but the size is very large I ordered size L and it probably won t fit It won t look good on me so I will pass it on to a friend My weight is 57 kg,5,48,MIXED,INCONSISTENT,HIGH,MODERATE,MODERATE,0,0,MODERATE
Material what you see is what u get Size a little bit small Style perfect All in all perfect,5,19,MIXED,INCONSISTENT,LOW,LOW,MODERATE,0,0,LOW
The fabric is really good It took a long time to arrive from China But it s worth the price The shoulder area is a bit narrow making it hard to take off,5,33,MIXED,INCONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
Can I have this change to another color The product arrived late with the event I planned to wear it,5,20,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Material elegant at mukhang mamamhalin Size fits to me saktong sakto Style kakaiba siya,5,14,POSITIVE,CONSISTENT,LOW,LOW,MODERATE,0,0,LOW
malaki masyado sa xl pero maganxa,5,6,MIXED,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Material is not good very far from what you see i cant wear the dress its not formal its like you can wear for malling only,5,26,NEGATIVE,INCONSISTENT,MODERATE,MODERATE,LOW,0,0,LOW
nice material but i ordered one size larger for 70kg person it shpild have been xl only but overall good buy,5,21,MIXED,INCONSISTENT,MODERATE,MODERATE,LOW,0,0,LOW
Style nice color Size sleeves are tight Material satin material is thick and durable,5,14,POSITIVE,CONSISTENT,LOW,HIGH,HIGH,0,0,MODERATE
maluwang pala sa akin tong size na nakuha ko anyway maganda siya pa repair ko n lng yun talaga ng hirap ng hindi nakikita,5,24,MIXED,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
beautiful but size big it s okay five star for seller and thanks you veryy much,5,16,MIXED,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
I loved the material and style it s me perfectly I could order another color in the near future,5,19,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
maganda at mukhang sosyal ang problema ko lang talaga ay yung kulay dahil masyadong matingkad bagay ito sa mga senior citizen na may malaking puson o tiyan kaya binili ko para kay mama kaso yung kulay ng damit pang maputi ang complexion saming mga morena di sya nakaka flatter sana may ibang color variation din tulad ng midnight blue and maroon pwede kasi ito sa mga formal events na din,5,70,MIXED,INCONSISTENT,HIGH,MODERATE,HIGH,0,0,MODERATE
super maganda quality ang tahi dumaan talaga sa good performance ng quality officer salamat maganda sulit hindi lang cya expandable na tela pero mamahalin at pang social nga makapal ewan Lang kung sa party eh tatagal s katawan hindi mainit o di pagpawi san perfect scores mabait din c kuya rider salamat,5,52,POSITIVE,CONSISTENT,MODERATE,HIGH,HIGH,0,0,HIGH
Style perfect Size perfectly fits Material very good quality material Everything is perfect Thank you for this very beautiful dress with a lesser price I would buy another color and definitely will recommend it to my friends,5,37,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Material good Size sakto lng Style I like it very good thank you seller thank you j t,5,18,POSITIVE,CONSISTENT,LOW,LOW,MODERATE,0,0,LOW
maganda ang material kasu di kasya sa arms ko kasi chubby armhole ko,5,13,MIXED,INCONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
Cannot fit for me very big it is needed to repair but beautiful good materials,5,15,MIXED,INCONSISTENT,LOW,LOW,MODERATE,0,0,LOW
So classy and looks expensive so beautiful I like the product so much tnx seller,5,15,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Style nice naman malaki lang yung medium sa Mother ko,5,10,MIXED,INCONSISTENT,LOW,MODERATE,LOW,0,0,LOW
Size Para sa pang XL po ang size ng Large malaki siya po,5,13,NEGATIVE,INCONSISTENT,MODERATE,LOW,LOW,0,0,LOW
mhaba pina repair ko nlng po mahal c byad ok n un mganda nmn kinalabassn,5,15,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Material Quality Size True to its size Style fits all types of occasion,5,13,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Arrived on time and well packaged You get your money s worth,5,12,POSITIVE,CONSISTENT,LOW,LOW,MODERATE,0,0,LOW
maganda sya kaso medyo malaki pala ang xl dapat large lang kinuha ko,5,13,MIXED,INCONSISTENT,LOW,MODERATE,LOW,0,0,LOW
super nice sakto sa size ko happy and satisfied highly recommended,5,11,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
the quality is good and like the color,5,8,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
true to size so nice simple n elegant,5,8,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Very elegant Perfect for formal events,5,6,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,0,0,MODERATE
true to its sizw high quality material beautiful style i love it,5,12,POSITIVE,CONSISTENT,LOW,LOW,MODERATE,0,0,LOW
Material is more than expected Style it is modern and chic,5,11,POSITIVE,CONSISTENT,MODERATE,LOW,MODERATE,0,0,MODERATE
I already know my size and I like the style of zanzea,5,12,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Material thick fabric Size true to size Style elegant,5,9,POSITIVE,CONSISTENT,LOW,HIGH,HIGH,0,0,MODERATE
Material good Size good Style nice,5,6,POSITIVE,CONSISTENT,LOW,LOW,HIGH,0,0,MODERATE
maganda hindi siya siya mainit,5,5,POSITIVE,CONSISTENT,LOW,MODERATE,LOW,0,0,LOW
thank I love the dress,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
It s nice but medium is pretty big to me,5,10,MIXED,INCONSISTENT,LOW,MODERATE,LOW,0,0,LOW
Nice product and prompt delivery,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Nice cloth and nice fitting,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
very good quality size and style,5,6,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Material good quality,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Size love it,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
maganda xa pati sukat hindi mainit,5,6,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
good,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
perfect,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
nice,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
nice,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
nice,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
nice material is ok,5,4,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
great dress super ganda soft and elegant,5,7,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
simple but nice,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
nice,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Size nice,5,2,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Size Big,5,2,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Material good,5,2,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
so satisfied with what I bought ty,5,7,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
delivered on time size ok,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
big not fits my body,5,5,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
nice,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
beautiful,5,1,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
I received the product but it took a very long time It s a bit too big but it s okay The price is worth it and the fabric is good,5,31,MIXED,INCONSISTENT,LOW,MODERATE,MODERATE,0,0,LOW
nice i really love it ang ganda ng tela what i expected is what i ve got thank you so much seller,5,22,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
The item I received is what I expect It has soft fabric bright colored It means it is not faded What I see is what I get I was able to wear it in designated date for it arrived on time The only difference is that I don t know my size I ordered large which is a little bit larger than my size but it is manageable I just put a clip at the back so it fit That is why i would like to extend my thanks to this shop,5,92,MIXED,INCONSISTENT,MODERATE,MODERATE,HIGH,0,0,MODERATE
Beautiful but a bit too big for a 34 bust No problem I can have it altered The fabric is good and the price is cheap,5,26,MIXED,INCONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
the quality is superb pero malaki lng ung large sa kagaya kong 53kg and 5 4 height,5,17,MIXED,INCONSISTENT,HIGH,MODERATE,MODERATE,0,0,MODERATE
Material Very good quality Size Fits beautifully Style Looks very neat,5,11,POSITIVE,CONSISTENT,LOW,LOW,HIGH,0,0,MODERATE
ok nice yung size what you is what you get sana mas konti adjustment sa kilikili,5,16,POSITIVE,CONSISTENT,MODERATE,MODERATE,LOW,0,0,MODERATE
The fabric is good perfect for black and white ceremonial events,5,11,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
It is simple yet elegant I should have bought large soze only Xl is too huge for me,5,18,MIXED,INCONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
very good appearance but the size is larger than the standard measurement of sizes,5,14,MIXED,INCONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
Size good n n Material nice comfy nvalue for money n Style love it,5,14,POSITIVE,CONSISTENT,LOW,LOW,MODERATE,0,0,LOW
super love the style and the materials,5,7,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Material The dress is nice for social occassions,5,8,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Material good Size correct Style nice,5,6,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
very elegant formal nice garment,5,5,POSITIVE,CONSISTENT,LOW,LOW,MODERATE,0,0,LOW
verry nice Style,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
not true to size too big I can t use it,5,11,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
A bit big but acceptable,5,5,MIXED,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Size ok maganda ang tela,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
ok nice fabric unique design,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Nice one It fits me,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Material nice Size very large for me Style nice one,5,10,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
perfect fit very good textile,5,5,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,0,0,MODERATE
Style i love it,5,4,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Well received Very nice,5,4,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Tq for the fast delivery,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
nice,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Good,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
love the material n design,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
oversize sa large,5,3,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Good,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
i did not receive the item but lazada said it was delivered,1,12,NEGATIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
