Review,Star Rating,Valence,Internal Consistency,Review Quality,Objectivity,Sidedness,RIQ Score,RIQ Label,Template Flag,Spam Flag,Credibility
maganda..   ??Price:99  ??Scent:99  ?Longevity:90,5,,,MODERATE,HIGH,OS,,,0,0,
??Price:good  ??Scent:good  ?Longevity:good,5,,,MODERATE,HIGH,OS,,,0,0,
??Scent:Hindi po sya longlasting,5,,,MODERATE,HIGH,OS,,,0,0,
Good ang bangu po.  order pi ko ulit seller pag naka sahud,5,,,MODERATE,HIGH,OS,,,0,0,
??Price:10  ??Scent:8  ?Longevity:8,5,,,MODERATE,HIGH,OS,,,0,0,
mabangoooo??,5,,,LOW,HIGH,OS,,,0,0,
LeGit??????,5,,,LOW,LOW,OS,,,0,0,
??Scent:IMITATION..FAKE ITEM..nakakadala kayo,5,,,MODERATE,MODERATE,OS,,,0,0,
my son like the smell,5,,,MODERATE,HIGH,OS,,,0,0,
mabango,5,,,LOW,HIGH,OS,,,0,0,
Grabi ang bango,5,,,LOW,MODERATE,OS,,,0,0,
??nice smell,5,,,LOW,HIGH,OS,,,0,0,
Ang bilis dumating simply na Ang bango thank you seller,5,,,MODERATE,HIGH,OS,,,0,0,
sakto lang ang amoy,5,,,LOW,HIGH,OS,,,0,0,
Ok po at mabango..,5,,,LOW,HIGH,OS,,,0,0,
I recommend it ??????????,5,,,LOW,HIGH,OS,,,0,0,
The best perfume,5,,,LOW,HIGH,OS,,,0,0,
??Scent:,5,,,LOW,LOW,OS,,,0,0,
mabango sulit,5,,,LOW,HIGH,OS,,,0,0,
??Price:good   ??Scent:good   ?Longevity:good,5,,,MODERATE,HIGH,OS,,,0,0,
Thanks,5,,,LOW,LOW,OS,,,0,0,
?Longevity:,5,,,LOW,LOW,OS,,,0,0,
nice ?? x ??,5,,,LOW,LOW,OS,,,0,0,
??Scent:,5,,,LOW,LOW,OS,,,0,0,
ambangoooooooooooo legit guys,5,,,LOW,HIGH,OS,,,0,0,
ok dumateng ng maayos tnx po,5,,,MODERATE,LOW,OS,,,0,0,
??Scent:,5,,,LOW,LOW,OS,,,0,0,
Will buy again,5,,,LOW,LOW,OS,,,0,0,
the scent is good,5,,,MODERATE,HIGH,OS,,,0,0,
Thanks,5,,,LOW,LOW,OS,,,0,0,
??Scent:,5,,,LOW,LOW,OS,,,0,0,
??Scent:good,5,,,MODERATE,HIGH,OS,,,0,0,
mabango sya super,5,,,MODERATE,HIGH,OS,,,0,0,
good at .mabango,5,,,MODERATE,HIGH,OS,,,0,0,
Mabago po sya,5,,,LOW,LOW,OS,,,0,0,
bangoooo,5,,,LOW,LOW,OS,,,0,0,
salamat po,5,,,LOW,LOW,OS,,,0,0,
thank you po,5,,,LOW,LOW,OS,,,0,0,
??Price:sobrang sulit na sya  ??Scent:mabango sya both perfume and smooth Yung scent nya long lasting  ?Longevity:I think long lasting sya  ginamit ko na sya and kahit naghugas nko Ng kamay andon parin Yung scent  and sorry dko na navideohan na open na Kasi Ng pamankin ko pero okey sya nasa very good kundisyon Yung item  thank you,5,,,HIGH,HIGH,OS,,,0,0,
ambango nya.. bibili Ako ulit. MARAMING SALAMAT PO sa seller at rider . at nakadating maayos Ang parcel ko,5,,,HIGH,HIGH,OS,,,0,0,
Iba yong dumating . poison Ang order ko bakit brave man dumating. kaloka.............. ... ,2,,,MODERATE,MODERATE,TS,,,0,0,
??Scent:Mabango  ?Longevity:Good  ??Price:Sulit Thank you seller and Kuya delivery everything is good,5,,,MODERATE,HIGH,OS,,,0,0,
??Scent:Mabango  amoy sampaguita(para Sakin). gusto ko sa sampaguita kaya nagustuhan ko talaga to! thank you Po seller!!,5,,,HIGH,HIGH,OS,,,0,0,
mura lng at mabango sya maganda pag package nya salamat sa seller at ky kuya rider,5,,,HIGH,HIGH,OS,,,0,0,
super mabango sulit ang order ko gusto ko ang baho nang perfume,5,,,MODERATE,MODERATE,OS,,,0,0,
bakit 1 lang yung dumating?..akala ko buy 1 take 1?,5,,,LOW,MODERATE,OS,,,0,0,
honest review bros lang Ang medyo ok Ang amoy?? yong brave man ay halos wlang amoy nakalimutan cguro Ng lagyan Ng pangpabango,5,,,MODERATE,MODERATE,TS,,,0,0,
good ang bango sulit ang bayad recommend ko tlga.,5,,,HIGH,HIGH,OS,,,0,0,
Akala ko buy one take one nakalagay  di nman pla isa lng dumating,5,,,MODERATE,MODERATE,OS,,,0,0,
good super bango suñit ang bayad????????,5,,,MODERATE,HIGH,OS,,,0,0,
?Longevity:fine  ??Scent:fine  ??Price:good,5,,,MODERATE,HIGH,OS,,,0,0,
b1 take 1 tas isa lang dumating scammer tlaga Lazada....??????????,5,,,MODERATE,MODERATE,OS,,,0,0,
??Scent:love it   ?Longevity:good   ??Price:the best,5,,,MODERATE,HIGH,OS,,,0,0,
??Scent:10/10  ?Longevity:9/10  ??Price:10/10,5,,,MODERATE,HIGH,OS,,,0,0,
??Price:sulit  smell good   ?Longevity:long lasting,5,,,MODERATE,HIGH,OS,,,0,0,
mabagong at Malaki din sya salamat po,5,,,MODERATE,MODERATE,OS,,,0,0,
ok nice good packaging and smell good,5,,,MODERATE,HIGH,OS,,,0,0,
??Scent:?????????????? ??????,5,,,MODERATE,HIGH,OS,,,0,0,
thank gid seller Ang bango,5,,,MODERATE,MODERATE,OS,,,0,0,
hindi buy 1 take. 1,5,,,LOW,MODERATE,OS,,,0,0,
??Scent:ok nman na siya,5,,,MODERATE,HIGH,OS,,,0,0,
??Price:gg do jjk,5,,,LOW,LOW,OS,,,0,0,
??Scent:ok nman xa at good packaging,4,,,MODERATE,HIGH,OS,,,0,0,
mabango sila.ung poison na item  tumatagal amoy sa damit,5,,,MODERATE,HIGH,OS,,,0,0,
Thanks,5,,,LOW,LOW,OS,,,0,0,
good,5,,,LOW,LOW,OS,,,0,0,
??Scent:,5,,,LOW,LOW,OS,,,0,0,
happy,5,,,LOW,LOW,OS,,,0,0,
ty,5,,,LOW,LOW,OS,,,0,0,
??Scent:mabango,5,,,MODERATE,HIGH,OS,,,0,0,
??Scent:good....love it,5,,,MODERATE,HIGH,OS,,,0,0,
ok,5,,,LOW,LOW,OS,,,0,0,
Ang Ganda ng quality and nag bango nya sobra.,5,,,MODERATE,HIGH,OS,,,0,0,
good job,5,,,LOW,LOW,OS,,,0,0,
not buy1 take one??????,4,,,LOW,MODERATE,OS,,,0,0,
??Scent:,5,,,LOW,LOW,OS,,,0,0,
Thankse,5,,,LOW,LOW,OS,,,0,0,
??Price:ok na price,5,,,MODERATE,MODERATE,OS,,,0,0,
beautiful ang ganda tiyaka ang bango,5,,,MODERATE,HIGH,OS,,,0,0,
??Scent:,5,,,LOW,LOW,OS,,,0,0,
good,5,,,LOW,LOW,OS,,,0,0,
Hindi masyadong abango,5,,,MODERATE,MODERATE,OS,,,0,0,
good,5,,,LOW,LOW,OS,,,0,0,
good,4,,,LOW,LOW,OS,,,0,0,
ito Ang medyo ok,5,,,MODERATE,MODERATE,TS,,,0,0,
??Scent:good smell,3,,,MODERATE,HIGH,OS,,,0,0,
Hindi kasing amoy Ng nas avon,3,,,MODERATE,MODERATE,OS,,,0,0,
matamis Ang amoy,3,,,LOW,HIGH,OS,,,0,0,
