Review,Star Rating,Valence,Internal Consistency,Review Quality,Objectivity,Sidedness,RIQ Score,RIQ Label,Template Flag,Spam Flag,Credibility
good po sya maganda po tsa ....mablis dn dumating salamat kuya rider kaht naulan...,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
ganda mya sobrang sulit order ko dito,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
berry good item sobrang po legit Wala damage at safe Yung pag delivered Salamat po sa seller and Kay kua rider Ang Ganda po sobrang order napo kayo Ang mura lang po nyan legit pa   Functionality:good   Quality:good   Material:good,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
ang ganda niya po,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
okay nmn  cute size,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Functionality:ok xa at malakas kht maliit  Quality:maganda cute Ng kulay  Material:maganda at mukhang matibay,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
good,5,,,,,OS,0,Low RIQ,0,0,
Functionality:10/10  Quality:Nice,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🎧Sound Quality:good  👜Portability:verryyy gooooodddd  ang cute nya.. tama lang ang sound nya.. hnd din sabog at hnd sobrang lakas..,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
superrr gandaaaaaStylish design  Compact and portable speaker  Rechargeable built-in battery  Easy to use and set up ,5,,,HIGH,HIGH,OS,4,High RIQ,1,0,
ok naman sya. mallakas pero  pag naag full ng volume nababbabsag yong tunog nya. at may something naa kumakalog sa loob. pero because it's free ko nakuha. nat bad.Wireless Bluetooth connection  Excellent value for money ,5,,,HIGH,HIGH,TS,5,High RIQ,0,0,
Versatile speaker with multiple variations  Perfect for on-the-go use  Easy to use and set up  Convenient mobile phone holder ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
seller thank you sa uulit ako sayu nalang ako order no issue item ko maganda pa gamitin hehe 😁✌🏻 thank you ulit seller,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
ok nmn po xa un l g Po Isa Medio  basag Po un tunog pero ok nrin malaks nmn xa at midio matagal dn po xa bago malobat slmt po KY seller at ky kuya suking rider n mabait 🥰,5,,,HIGH,HIGH,TS,5,High RIQ,0,0,
🥰  Convenient mobile phone holder   thank you seller and rider.....,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Wireless Bluetooth connection  Versatile speaker with multiple variations  Convenient mobile phone holder  Perfect for on-the-go use  Stylish design  Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
sobra lliit pla ng speaker hehe pero ok lng kc ndi q nmn n check ung size nya eh,5,,,MODERATE,MODERATE,TS,3,Moderate RIQ,0,0,
👜Portability:super cute hehe Convenient mobile phone holder ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,1,0,
Wireless Bluetooth connection  Perfect for on-the-go use  Rechargeable built-in battery  Versatile speaker with multiple variations ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
Excellent value for money  Perfect for on-the-go use    🎧Sound Quality:Perfect,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
🎧Sound Quality:awesome.   🔋Battery Life:7hours,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🔋Battery Life:Compact and portable speaker  Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Convenient mobile phone holder  Compact and portable speaker ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Compact and portable speaker  Perfect for on-the-go use    🎧Sound Quality:good 💯  🔋Battery Life:good 👍  👜Portability:good 👍😊,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
THE PACKAGING & THE MOST IMPORTANT WHICH IS THE PRODUCT WAS ALL IN GOOD CONDITION & COMPLETE. GOD BLESS YOU ALL!,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Excellent value for money  Versatile speaker with multiple variations  Rechargeable built-in battery  Great sound quality  Compact and portable speaker  Wireless Bluetooth connection  Wireless Bluetooth connection  Convenient mobile phone holder  Wireless Bluetooth connection  Compact and portable speaker  Convenient mobile phone holder  Compact and portable speaker  Compact and portable speaker  Compact and portable speaker  Compact and portable speaker ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,2,
Excellent value for money  Perfect for on-the-go use  Compact and portable speaker  Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
👜Portability:ok  🎧Sound Quality:malakas sya khit maliit😊  🔋Battery Life:ok nmn,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
bakit Hindi ito bluetooth  ibabalik ko Nalang ito,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
I RECIEVED THE PRODUCT IN GOOD CONDITION AS WELL AS THE PACKAGING  THUMBS UP TO THIS STORE. I RECOMMEND THIS STORE FOR THERE GOOD PRODUCT SELLING. GOD BLESS YOU ALL! I JUST WONDERED 'CAUSE I HAVE TO PAY AT LEAST 5PHP BUT THE TOTAL THAT THE RIDER THAT TOLD ME IS 0PHP. ANYWAY THANK YOU  ITS GOOD DOING BUSINESS WITH YOU ALL!,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
👜Portability:Compact and portable speaker    🎧Sound Quality:Convenient mobile phone holder  Great sound quality    🔋Battery Life:Rechargeable built-in battery ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
Rechargeable built-in battery  Rechargeable built-in battery  Rechargeable built-in battery  Versatile speaker with multiple variations  Stylish design  Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,2,
Stylish design  Great sound quality  Perfect for on-the-go use  Easy to use and set up  Convenient mobile phone holder ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
Perfect for on-the-go use  Compact and portable speaker ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
🎧Sound Quality:good sounds  🔋Battery Life:good too,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
ang cute hehehe legit store💯% ThankyouSeller/Rider😊  🎧Sound Quality:✅  🔋Battery Life:✅,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Convenient mobile phone holder  Compact and portable speaker  Easy to use and set up  hgjv,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
Stylish design  Perfect for on-the-go use  Convenient mobile phone holder    🎧Sound Quality:10/10  🔋Battery Life:10/10,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
so cute... thanks seller and to kuya rider,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🎧Sound Quality:malakas ung sound,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Excellent value for money  Compact and portable speaker  Great sound quality  Stylish design ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
super Ganda at sulit nang bili namin .bait pa ni kuya rider ... God bless 😇,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
salamat seller and sa rider kahit maliit ang speaker malakas nman ang sound,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
The sound is a bit low  but it's easy to use and easy to carry around  and it's battery life lasts long,5,,,HIGH,HIGH,TS,5,High RIQ,0,0,
maganda po sya salamat po sa seller at sa rider maganda po pagkabalot kaya walang damage Akala ko talaga Hindi totoo Kasi nakuha kolang ng 34 pesos legit pala talaga na speaker,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Perfect for on-the-go use  Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
🔋Battery Life:Great sound quality  Convenient mobile phone holder ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
Perfect for on-the-go use  Great sound quality  Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
salamat seller. nice items Ligeti lakas Ng tunog,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
ayos maganda pagkapacked aalamat sa seller at sa nagdeliver salamat lazad sa uulitin po like it,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
🎧Sound Quality:Easy to use and set up  Compact and portable speaker ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Excellent value for money  Great sound quality  Compact and portable speaker  Versatile speaker with multiple variations ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Excellent value for money  Compact and portable speaker ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
ang ganda po ng tunog nya at ang lakas po kahit maliit sya sulit yng bayad kasi sobrang nagustuhan ko yng tunog malakas kahit dipa naka max volume  satisfied buyer here 👍👍👍👍👍,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
nice,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🎧Sound Quality：,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
nami Kag tunog sya 🥰🥰Versatile speaker with multiple variations  Rechargeable built-in battery ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,1,0,
Functionality:5 ⭐️   Quality:5 ⭐️   Material:5 ⭐️  Easy to use and set up  Versatile speaker with multiple variations  Convenient mobile phone holder  Perfect for on-the-go use ,5,,,HIGH,HIGH,OS,4,High RIQ,1,0,
Excellent value for money  Perfect for on-the-go use  Compact and portable speaker  Rechargeable built-in battery ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,2,
Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
grabe ka seller Ang Ganda kahit maliit Ang Ganda Naman Ng sounds at Ang lakas pa😊 good job seller and Kay kuya rider      Compact and portable speaker  Great sound quality     Quality:10/10   Material:10/10  Functionality:10/10,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
ang ganda. ang lakas ng tunog grave😊 for 81petot grabe apaka nice🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰Easy to use and set up  Excellent value for money  Convenient mobile phone holder  Versatile speaker with multiple variations  Wireless Bluetooth connection  Great sound quality ,5,,,HIGH,HIGH,OS,4,High RIQ,2,2,
Perfect for on-the-go use  Rechargeable built-in battery  Convenient mobile phone holder  Versatile speaker with multiple variations  Rechargeable built-in battery ,5,,,HIGH,HIGH,OS,4,High RIQ,2,2,
Works really well at a very affordable price. Its maximum sound can fill our living room with enoigh noise.,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
I love it..Love the quality and the price..,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
ang lupet gana sya kala ko hindi ma detect ng cp ko 😁  salamat seller 👌🏼,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
legit guys 5pesos lang nabili ko. ganda.,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Quality:maganda sya malakas subrang cute thankyou kua rider sa pagdelever ang ganda tlga work it and 34 pisos KO hehehe order ako sunod ung malaki Naman 🥰😘  good na good 😊,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
maganda Siya malakas kahit maliit,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Wireless Bluetooth connection  Excellent value for money  Great sound quality  Easy to use and set up ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,1,
🎧Versatile speaker with multiple variations  Sound Quality：,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
malakas Ang sound maganda.kazo lang Wala Pala saksakan Ng mic.,5,,,MODERATE,MODERATE,TS,3,Moderate RIQ,0,0,
Versatile speaker with multiple variations  Excellent value for money  Excellent value for money  Stylish design  Great sound quality  Excellent value for money  Great sound quality  Stylish design ,5,,,HIGH,HIGH,OS,4,High RIQ,2,2,
thanks po,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
Great sound quality  Easy to use and set up ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
sabi nyu 4inches dumating 3inches,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Easy to use and set up ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Easy to use and set up ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
maganda malakas Ang tunog kahit maliit🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,2,
Wireless Bluetooth connection ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
mabilis dumating  malakas Naman Ang speaker  so cute .maliit lang Siya Wala Naman damage good quility Naman.,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Maganda po,5,,,LOW,HIGH,OS,2,Moderate RIQ,0,0,
Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
chkklllgccgjjj😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,5,,,LOW,LOW,OS,0,Low RIQ,0,2,
👜Portability:10/10  🎧Sound Quality:10/10,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
mgnda at mlkas xa ngstuhan ko kht mliit lng ang cute hehe,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🎧Sound Quality:10/10 di basag sound quality nya  Easy to use and set up.   *May kaunting problem lang kasi naka state sa description item na with phone holder pero dinsya included sa mismong item na na received ko ngayon.  *Sakay base on the box ng item  may naka state na with charging cable saka microphone pero wala din.,3,,,HIGH,HIGH,TS,5,High RIQ,0,0,
like it,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
👜Portability：,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
nakalagay nyo 4'' tas ang dinilever nyo 3''lng,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
🎧Sound Quality：,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
ok malakas Ang tunog ligit talaga salamat sa seller at sa rider,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
ang Ganda kahit maliit sya malakas..,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
thanks,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Easy to use and set up   thank you sa delivery driver,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,1,0,
good quality speaker Sana mag tagal,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
sobrang ganda,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
goods po nmn cia,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
𝚖𝚊𝚐𝚊𝚗𝚍𝚊 𝙲𝙸𝙰 𝚕𝚊𝚔𝚊𝚜 𝚗𝚐 tunog,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Quality:all in good condition,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Versatile speaker with multiple variations  Compact and portable speaker  Wireless Bluetooth connection ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Quality:ayos Siya malakas kahit maliit..,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🎧Sound Quality:good Rechargeable built-in battery     🔋Battery Life:good  👜Portability:good,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,1,0,
mabilis malobat,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Easy to use and set up  Compact and portable speaker  Rechargeable built-in battery ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Stylish design  Compact and portable speaker    🎧Sound Quality:good  🔋Battery Life:good,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,1,0,
62 pesos only .. salamat seller super worth it I love it so much ❤️ I will rate this shop 5 star ⭐⭐⭐⭐⭐,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
ok nmn po xa midio matagal dn po malobat slmt po KY seller at ky kuya suking rider n mabait 🥰,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Its size is Perfect for on-the-go use its Easy to use and set up with Versatile speaker with multiple variations its a Excellent value for money.,5,,,HIGH,HIGH,OS,4,High RIQ,2,0,
thank you so much seller ❤️❤️ Salamat Lalo Nat Sa maayos na pag ka package Nang aking order Salamat po  ❤️❤️❤️ thank you so much lazada,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Excellent value for money  Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Nice product  works well. best buy... fast shipping also.,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Stylish design  Versatile speaker with multiple variations  Rechargeable built-in battery ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
🎧Sound Quality:malakas Ang sounds nya ☺️  🔋Battery Life:matagal din malowbat,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🎧Sound Quality:10/10   👜Portability:10/10  🔋Battery Life:10/10 Great sound quality  Easy to use and set up  Compact and portable speaker  but it's not a convenient mobile phone holder.,5,,,HIGH,HIGH,,4,High RIQ,2,0,
Versatile speaker with multiple variations  Rechargeable built-in battery  Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Great sound quality   Easy to use and set up ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Rechargeable built-in battery  Great sound quality  Compact and portable speaker  Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Excellent value for money  Excellent value for money  Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Functionality:good  Quality:good  Material:I think Compact and portable speaker  Stylish design  Convenient mobile phone holder  Perfect for on-the-go use  Convenient mobile phone holder  Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,2,
thank you seller  malakas po tunog,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Stylish design  Versatile speaker with multiple variations  Compact and portable speaker  Convenient mobile phone holder ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,2,
Functionality:gCompact and portable speaker  Excellent value for money  Rechargeable built-in battery  Convenient mobile phone holder ,5,,,HIGH,HIGH,OS,4,High RIQ,2,1,
Maliit pero sulit lakas ng tunog..☺️this shop is highly recommend talaga🥰,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Quality:good  Functionality:good Compact and portable speaker  Great sound quality  Wireless Bluetooth connection  Easy to use and set up ,5,,,HIGH,HIGH,OS,4,High RIQ,2,1,
affordable na high quality speaker pa  thank you so much seller  recommended tong shop na to  legit si seller.,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
ok naman yung tunig basta wag itodo ang volume .. salamat seller at sa rider na madaling kausap ..,5,,,MODERATE,MODERATE,TS,3,Moderate RIQ,0,0,
basag yong dumating sa Amin,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
legit dito kayo umorder,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Salamat Ng marami seller at Kay Kuya nah delivery Salamat Ng marami Maganda ung tunog nya SA uulitin kahit mura LNG maganda sya..,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Convenient mobile phone holder  Compact and portable speaker  Versatile speaker with multiple variations  Wireless Bluetooth connection ,5,,,HIGH,HIGH,OS,4,High RIQ,2,0,
Functionality:Easy to use and set up    Material:Stylish design  Wireless Bluetooth connection ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Perfect for on-the-go use  Stylish design  Wireless Bluetooth connection ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
👜Portability: nice  🎧Sound Quality: 100/10  🔋Battery Life: idk yet,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Sira yung on and off,1,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
mali naman binigay nyo sa akin nagbigay kayo 3inch lang at hindi 4 inch kala ko malaki ang liit lang nito,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
maganda at mlakas ang sounds niya maraming salamt,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
maayos po at maganda,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
good namn. nagexpect lang ako ng medyo malaki at may saksakan ng mic. so sad wala. pero good quality   lakas din ng tunog.. Great sound quality  Rechargeable built-in battery  Easy to use and set up ,5,,,HIGH,HIGH,TS,5,High RIQ,0,0,
Wireless Bluetooth connection  Wireless Bluetooth connection  Perfect for on-the-go use Wireless Bluetooth connection ,5,,,HIGH,HIGH,OS,4,High RIQ,2,0,
wlng mike n Kasama ang speaker Sabi wireless bkt wla,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
good,5,,,LOW,HIGH,OS,2,Moderate RIQ,0,0,
Easy to use and set up  Wireless Bluetooth connection  Rechargeable built-in battery ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Rechargeable built-in battery  Great sound quality  vVersatile speaker with multiple variations ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Ang cute nya.....malakas nman Ang sound kaso medjo basag lang pag malakas.....,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Versatile speaker with multiple variations Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
maganda legit,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
goods ang ganda at malakas sya kahit di ganon kalaki,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
🎧Sound Quality:Convenient mobile phone holder ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
🎧Sound Quality:Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
